round_date,round_seq,layer,instrument,broker,market_type,base_interval,strategy_or_rule,data_source,trades,win_rate_pct,profit_factor,sharpe_ratio,sortino_ratio,net_pnl_usd,starting_equity_usd,trades_per_week_est,target1_profitable,target2_winrate_ge70,target3_freq_ge1day_or_7week,notes
2026-08-20,1,Alpha,BTC/USDT,binance,perpetual_future,5m,candle_momentum,live_redis_ledger,15777,22.7,,,,-113.18,10000,,no,no,yes,"Real live production ledger read via Redis simulated_ledgers, uncontaminated by any backtest tooling bug. Losing."
2026-08-20,1,Alpha,BTC/USDT,binance,perpetual_future,5m,rsi_mean_reversion,live_redis_ledger,2516,54.7,,,,-14.73,10000,,no,no,yes,"Real live production ledger. Roughly flat/slightly losing."
2026-08-20,1,Alpha,BTC/USDT,binance,perpetual_future,4h(MTF base 5m),mtf_stochastic_14_3_30_70_sma10_trend_filtered,honest_holdout_backtest_post_lookahead_fix,,27.3,0.68,,,,,,no,no,no,"CORRECTED figure. Pre-2026-08-20 log entries (Run 9-14) reported this same strategy passing all 4 targets (69-97% win, PF up to 979, Sharpe 10.34) -- those numbers were produced by a lookahead bug in finance-research's MTF kline merge (fixed commit 3c16745, 2026-08-20T09:15Z). This row supersedes and retracts every prior Run 9-14 'all targets cleared' claim for this exact strategy."
2026-08-20,1,Alpha,BTC/USDT,exness,cfd,4h(MTF base 5m),mtf_stochastic_14_3_30_70_sma10_trend_filtered,honest_holdout_backtest_post_lookahead_fix,,26.5,0.67,,,,,,no,no,no,"Same lookahead-bug correction as above, Exness BTC leg."
2026-08-20,1,Alpha,BTC/USDT,binance,perpetual_future,4h(MTF base 5m),mtf_macd_5_13_5_sma10_trend_filtered,honest_holdout_backtest_post_lookahead_fix,,27.8,0.64,,,,,,no,no,no,"Corrected post-lookahead-fix figure."
2026-08-20,1,Alpha,BTC/USDT,exness,cfd,4h(MTF base 5m),mtf_macd_5_13_5_sma10_trend_filtered,honest_holdout_backtest_post_lookahead_fix,,27.0,0.65,,,,,,no,no,no,"Corrected post-lookahead-fix figure."
2026-08-20,1,Alpha,BTC/USDT,binance,perpetual_future,4h(MTF base 5m),mtf_candle_momentum_10bps_sma10_trend_filtered,honest_holdout_backtest_post_lookahead_fix,,29.8,0.75,,,,,,no,no,no,"Corrected post-lookahead-fix figure."
2026-08-20,1,Alpha,BTC/USDT,exness,cfd,4h(MTF base 5m),mtf_candle_momentum_10bps_sma10_trend_filtered,honest_holdout_backtest_post_lookahead_fix,,29.9,0.74,,,,,,no,no,no,"Corrected post-lookahead-fix figure."
2026-08-20,1,Alpha,BTC/USDT,binance,perpetual_future,5m,rsi_mean_reversion_14_20_80,honest_holdout_backtest,,58.5,0.83,,,,,,no,no,unknown,"Best non-MTF 5m candidate from ~40-candidate sweep; still net losing after costs."
2026-08-20,1,Alpha,BTC/USDT,binance,perpetual_future,1d,stochastic_14_3_30_70,honest_holdout_backtest,21,71.4,,,,-0.02,,0.4,no,yes,no,"Single-interval (no MTF merge, immune to lookahead bug). Real, consistent 66-71% win across train/val/holdout. FAILS daily-profit-gate: cost_to_gross_pnl_ratio=1.15 (fees exceed gross profit), net PnL flat, and fails Target 3 (0.4 trades/week vs 7/week bar). Sizing CANNOT fix the cost ratio -- confirmed by code inspection (execution_cost.rs: fee/slippage/funding are pure bps-of-notional, no fixed-dollar component, so cost_to_gross_pnl_ratio is scale-invariant to position size)."
2026-08-20,1,Alpha,BTC/USDT,binance,perpetual_future,1d,rsi_mean_reversion_9_30_70,honest_holdout_backtest,,66.7,1.25,,,,,,no,no,no,"Real, consistent 63-67% win train/val/holdout. Frequency not yet re-measured against Target 3 this round."
2026-08-20,1,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),fixed-pct,not_yet_measured,,,,,,,,,unknown,unknown,unknown,"Portfolio-layer per-rule/per-strategy honest measurement not yet pulled this round -- queued as next action (see log entry same date). reweight_from_alpha_performance IS confirmed wired live (trading_api.rs:1531,2106); strategy attribution field is a static 'weighted-strategies' scope label by design, real per-trade attribution lives in contributing_strategies (already correct, confirmed shipped)."
2026-08-20,1,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),risk-2pct,not_yet_measured,,,,,,,,,unknown,unknown,unknown,"Same as above -- queued."
2026-08-20,1,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),compounding-10pct,not_yet_measured,,,,,,,,,unknown,unknown,unknown,"Same as above -- queued."
2026-08-20,1,Alpha+Portfolio,XAU/USD,exness,cfd,5m,any,deployment_status,,,,,,,,,n/a,n/a,n/a,"CORRECTED in Round 2 below: this row was wrong. XAU IS live in production on both brokers (project_active_instruments memory: 'Only BTC + AUX instruments are live' -- AUX/XAU was always included, not BTC-only). Real Portfolio-layer trade data recovered in Round 2 via the correct Redis checkpoint key."
2026-08-20,1,Alpha+Portfolio,XAU/USDT,binance,perpetual_future,5m,any,deployment_status,,,,,,,,,n/a,n/a,n/a,"CORRECTED in Round 2 below: same error as above -- XAU/USDT binance is live, see Round 2 rows."
2026-08-20,2,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),fixed-pct,live_redis_checkpoint,0,,,,,0.00,10000,0,no,no,no,"REAL number, not a placeholder. Portfolio has made ZERO decisions ever for BTC on either broker -- current_target.reason is still the literal startup default 'initial_flat' after 104558 consecutive decision cycles. Root-caused: MultiTimeframePortfolioPolicy::decide() (trading_modes.rs:680) needs entry_score AND trend_score to each clear a fixed 0.10 threshold and agree in sign; reweight_from_alpha_performance's alpha_performance_quality gives a 0-trade strategy quality=1.0 (max, fail-open default), so BTC's 3 never-traded MTF strategies out-weight the 2 real strategies after normalize_positive_weights, diluting the real signal below threshold. XAU (only 2 registered strategies, no MTF) doesn't have this problem. Full root-cause + code citations in research/quant/studies/portfolio-btc-optimization-log.md 'ROOT CAUSE FOUND' entry, same date. Logged as P0 to docs/archive/legacy-handoff-agent.md -- not fixed this session (explore/optimize scope only)."
2026-08-20,2,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint,0,,,,,0.00,10000,0,no,no,no,"Same root cause as fixed-pct row above -- Portfolio decision engine itself never fires for BTC, independent of which execution rule would size the trade."
2026-08-20,2,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),compounding-10pct,live_redis_checkpoint,0,,,,,0.00,10000,0,no,no,no,"Same root cause as fixed-pct row above."
2026-08-20,2,Portfolio,BTC/USD,exness,cfd,multi(weighted-ensemble),fixed-pct,live_redis_checkpoint,0,,,,,0.00,10000,0,no,no,no,"Same root cause, Exness BTC leg -- also stuck at initial_flat."
2026-08-20,2,Portfolio,BTC/USD,exness,cfd,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint,0,,,,,0.00,10000,0,no,no,no,"Same root cause, Exness BTC leg."
2026-08-20,2,Portfolio,BTC/USD,exness,cfd,multi(weighted-ensemble),compounding-10pct,live_redis_checkpoint,0,,,,,0.00,10000,0,no,no,no,"Same root cause, Exness BTC leg."
2026-08-20,2,Portfolio,XAU/USDT,binance,perpetual_future,multi(weighted-ensemble),fixed-pct,live_redis_checkpoint,10,30,,,,-0.11,10000,~1.4,no,no,unknown,"REAL: 3 win / 7 loss. Portfolio DOES decide for XAU (current_target.reason='protective_exit_waiting_for_fresh_insight', a real post-trade state, not the startup default). Losing after costs at this rule's sizing."
2026-08-20,2,Portfolio,XAU/USDT,binance,perpetual_future,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint,10,30,,,,-865.88,10000,~1.4,no,no,unknown,"Same 10 decisions (3W/7L) as fixed-pct -- risk-2pct's larger notional sizing turns the same losing decisions into a much larger drawdown (equity 10000 -> 9134.12)."
2026-08-20,2,Portfolio,XAU/USDT,binance,perpetual_future,multi(weighted-ensemble),compounding-10pct,live_redis_checkpoint,10,30,,,,-21.78,10000,~1.4,no,no,unknown,"Same 10 decisions (3W/7L), compounding-10pct sizing -- net PnL between fixed-pct and risk-2pct."
2026-08-20,2,Portfolio,XAU/USD,exness,cfd,multi(weighted-ensemble),fixed-pct,live_redis_checkpoint,15,6.7,,,,-0.37,10000,~1.5,no,no,unknown,"REAL: 1 win / 14 loss -- worst win rate found anywhere in this whole log so far. Real, active Portfolio decisions (not stuck), just currently a bad edge on this instrument/rule combo."
2026-08-20,2,Portfolio,XAU/USD,exness,cfd,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint,0,,,,,0.00,10000,0,no,no,no,"UNLIKE the other 2 XAU/exness rules, this one shows 0 trades too -- worth checking next round whether this is the same BTC-style Portfolio-decision-engine stall or something rule-specific (e.g. risk-2pct's notional formula rejecting on this instrument's price scale). Not yet root-caused, flagged for follow-up."
2026-08-20,2,Portfolio,XAU/USD,exness,cfd,multi(weighted-ensemble),compounding-10pct,live_redis_checkpoint,15,6.7,,,,-72.83,10000,~1.5,no,no,unknown,"Same 15 decisions (1W/14L) as fixed-pct, compounding-10pct sizing -- largest single loss of any XAU/exness rule this round."
2026-08-20,3,Portfolio,XAU/USD,exness,cfd,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint_risk_state,0,,,,,0.00,10000,0,no,no,no,"ROOT-CAUSED follow-up to Round 2's flagged item. portfolio_risk_states shows rejected_counts={risk:2556}, last_rejection='risk limit order_notional exceeded: projected 40000, maximum 10000' -- config sizing=risk_fraction 0.02, stop=0.005, matches equity*risk_fraction/stop=10000*0.02/0.005=40000 exactly, over the 10000 cap every single time (2556/2556 attempts rejected). This is the SAME risk-2pct notional bug documented in docs/archive/legacy-raw/archive/closed-2026-08/portfolio-rule-trade-count-imbalance.md, previously marked done via finance-live-action 8d31ac1 -- but real production data shows it is NOT actually fixed for Exness XAU specifically. Binance XAU risk-2pct (same nominal sizing config, 0.02/0.005) succeeds with only 2 unrelated rejections (execution_cost, quantity step) and 10 real trades -- the only config difference found is leverage (binance=10, exness=1) and maintenance_margin (binance=0.025, exness=0), but signed_order_notional() (risk.rs:273-288) is pure quantity*price with no leverage term, so why leverage changes the outcome is not yet understood -- flagged honestly as unresolved, not guessed. Logged to docs/archive/legacy-handoff-agent.md as a re-opened item."
2026-08-20,4,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),all-3-rules,live_redis_checkpoint,0,,,,,0.00,10000,0,no,no,no,"STATUS CHECK, not a new measurement. Confirmed via production /api/v1/system/version + git merge-base that the Round 2 evidence-wiping fix (finance-live-action 3d1ad44) IS deployed and running (d1811f5). Checkpoint shows fresh updated_at (~20-40min old) and decisions_since_target_change=null (reset by the redeploy, expected) -- still reason=initial_flat, but too early to tell if the fix actually resolved the stall (Trend-role intervals need up to a full day to gather one fresh candle). Re-check in later rounds without redeploying anything in between."
2026-08-20,4,Portfolio,BTC/USD,exness,cfd,multi(weighted-ensemble),all-3-rules,live_redis_checkpoint,0,,,,,0.00,10000,0,no,no,no,"Same status check as Binance BTC row above -- also still initial_flat, also too early to tell."
2026-08-20,5,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint,946,31,,,,-9973.06,10000,,no,no,no,"BTC finally decided (reason changed to multi_timeframe_gate_passed) after evidence fix 3d1ad44, but during the transition window before Codex's weight-fix (cf35652, deployed 14:29 ICT) it whipsawed catastrophically: 946 trades in under 1 hour on a 5m base interval (~100+ trades/candle, impossible under correct once-per-candle decisioning), 293W/653L (31% win), equity 10000 -> 26.94 (-99.7%). CONFIRMED STOPPED, not ongoing: identical equity/win/loss on 2 checkpoint reads 5 minutes apart (14:50 and 14:55 ICT) after cf35652 took effect. Root cause of the whipsaw itself (why ~100+ decisions/candle during the transition window) not yet fully explained -- logged to docs/archive/legacy-handoff-agent.md, downgraded from CRITICAL to P1 once confirmed stopped."
2026-08-20,5,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),compounding-10pct,live_redis_checkpoint,1307,30.1,,,,-1803.35,10000,,no,no,no,"Same transition-window whipsaw as risk-2pct row above, smaller sizing so smaller damage: equity 10000 -> 8196.65 (-18.0%), 394W/913L. Stopped, same evidence."
2026-08-20,5,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),fixed-pct,live_redis_checkpoint,1307,30.1,,,,-9.97,10000,,no,no,no,"Same transition-window whipsaw, smallest sizing so minimal damage: equity 10000 -> 9990.03, 393W/914L. Stopped, same evidence."
2026-08-20,5,Portfolio,BTC/USD,exness,cfd,multi(weighted-ensemble),compounding-10pct,live_redis_checkpoint,1307,30.9,,,,-1736.29,10000,,no,no,no,"Same transition-window whipsaw, Exness BTC leg: equity 10000 -> 8263.71, 404W/903L."
