round_date,round_seq,layer,instrument,broker,market_type,base_interval,strategy_or_rule,data_source,trades,win_rate_pct,rr_ratio,profit_factor,sharpe_ratio,sortino_ratio,information_ratio,net_pnl_usd,starting_equity_usd,trades_per_week_est,max_drawdown_duration_days,max_consecutive_losses,ulcer_index,sqn,skewness,kurtosis,target1_profitable,target2_makedecision,target3_freq_ge1day_or_7week,notes
2026-08-20,17,Alpha,BTC/USDT,binance,perpetual_future,4h(higher-tf 1d),mtf_stochastic_14_3_30_70_sma50_trend_filtered,honest_holdout_backtest_extended_metrics,18,50.0,2.0,1.65,1.13,3.10,n/a_no_benchmark,1.69,10000,0.34,120,48(days;not trade-level),0.0030,1.136(daily_ret_approx;not_true_SQN),8.25,91.48,no,n/a,no,"Round 14/16 baseline candidate, re-measured this round with the full extended metric set (Ulcer/skew/kurtosis/DD-duration computed by hand from the gate's real daily_results array, see raw/researcher/round17-swing-4h1d-regime-filter-family.md for exact formulas). Still the best Sharpe/Sortino found this whole program, still fails only negative_day_streak (48d > 5d max) and badly misses the 7/week frequency target (0.34/week)."
2026-08-20,17,Alpha,BTC/USDT,binance,perpetual_future,4h(higher-tf 1d),mtf_candle_momentum_10bps_sma10_trend_filtered,honest_holdout_backtest_extended_metrics,65,38.5,,1.115,0.24,0.49,n/a_no_benchmark,0.41,10000,1.24,196,17(days),0.0081,0.239(daily_ret_approx),4.99,43.31,no,n/a,no,"NEW candidate this round (never tested at 4h/1d before). Faster sma10 trend filter trades 3.6x more often than the sma50 baseline (1.24 vs 0.34/week) but Sharpe collapses 1.13->0.24 and Ulcer Index nearly triples -- more trades here means noisier trades, not the same edge sampled more often. Still 5.6x short of the 7/week target even at its higher frequency."
2026-08-20,17,Alpha,BTC/USDT,binance,perpetual_future,4h(higher-tf 1d),mtf_macd_5_13_5_sma10_trend_filtered,honest_holdout_backtest_extended_metrics,31,45.2,,1.238,0.31,0.64,n/a_no_benchmark,0.63,10000,0.59,117,25(days),0.0063,0.307(daily_ret_approx),5.81,56.10,no,n/a,no,"NEW candidate this round. MACD-crossover entry instead of stochastic, same sma10 filter. Sits between the momentum and baseline candidates on every axis (frequency, Sharpe, Ulcer) -- consistent with the frequency/quality trade-off being a real spectrum, not noise."
2026-08-20,17,Alpha,BTC/USDT,binance,perpetual_future,4h(higher-tf 1d),mtf_stochastic_14_3_35_65_adx14_20_sma10_trend_filtered,honest_holdout_backtest_extended_metrics,11,63.6,,4.07,1.37,4.61,n/a_no_benchmark,2.51,10000,0.21,87,66(days),0.0022,1.370(daily_ret_approx),9.78,120.77,no,n/a,no,"NEW candidate this round -- best Sharpe/Sortino/Ulcer/SQN found in this entire research program (ADX(14)<20 ranging-regime gate stacked on the stochastic core). But trades even less often than the baseline (0.21/week, worst of all 4) and has the longest losing-day streak (66d, worse than baseline's already-failing 48d) -- fails 3 gate checks vs baseline's 1. Confirms quality and frequency trade directly against each other in this family; not a free lunch."
2026-08-20,17,Portfolio,BTC/USDT,binance,perpetual_future,5m,fixed-pct,live_redis_checkpoint,1295,30.3,,0.6327,,,,-9.90,10000,0,,7(consecutive_losses field),,,,,no,no(0 new since Round 11),no,"REAL make-decision-rate check: trade_count/equity/win/loss (392W/903L) are byte-identical to the Round 11 snapshot pulled several hours earlier this same session -- ZERO new forward trades. reason=protective_exit_waiting_for_fresh_insight, evaluation_count=2555 (actively evaluating, not stalled), decisions_since_target_change=39. Target 2 (increase Make Decision rate) has NOT improved for this leg this session despite the evidence/weight-dilution fixes earlier in the program."
2026-08-20,17,Portfolio,BTC/USD,exness,cfd,5m,risk-2pct,live_redis_checkpoint,1,100.0,,,,,,88.07,10000,0,,0,,,,,unknown,unknown,unknown,"Unchanged from Round 11's flagged fresh data point (1W/0L, equity 10088.07) -- still exactly 1 trade, no growth. reason=multi_timeframe_gate_passed (real active decisioning), decisions_since_target_change=12, evaluation_count=4456 (notably higher than the other 3 checkpoints' ~2500-2600 -- not yet explained, flagged for follow-up)."
2026-08-20,17,Portfolio,BTC/USD,exness,cfd,5m,fixed-pct,live_redis_checkpoint,1310,30.9,,,,,,-9.62,10000,,,,,,,unknown,unknown,unknown,"1310 trades (405W/905L), up from 1307-1308 in earlier rounds -- small real forward growth (+2-3 trades), consistent with normal 5m decisioning pace, not a burst."
2026-08-20,17,Portfolio,XAU/USDT,binance,perpetual_future,5m,all-3-rules,live_redis_checkpoint,8,37.5,,,,,,,10000,,,,,,,unknown,unknown,unknown,"Only 8 trades (3W/5L) now vs 10 (3W/7L) reported in this program's early Round 2 -- fewer than a prior reading, only possible after a ledger reset from an intervening redeploy (not a counter bug by itself). ANOMALY flagged separately: decisions_since_target_change=69102 while evaluation_count=2558 for this same checkpoint -- the former exceeds the latter by ~27x, inconsistent unless the two counters have different reset/persistence semantics across restarts. Logged to raw/handoff_codex.md as a new P3 investigation item, not root-caused this round."
2026-08-20,17,Portfolio,XAU/USD,exness,cfd,5m,fixed-pct,live_redis_checkpoint,734,34.2,,,,,,-3.15,10000,,,,,,,no,no(+1 since Round 10),unknown,"734 trades (251W/483L), essentially unchanged from Round 10's 733 -- +1 real forward trade only. reason=protective_exit_waiting_for_fresh_insight, evaluation_count=79 (this worker's counter reset recently, much lower than the other 3 -- consistent with a recent restart, not itself concerning)."
2026-08-20,18,Alpha,XAU/USD,exness,cfd,5m,session_vwap_reversion_london_14_1_5,honest_holdout_backtest,470,63.6,,0.598,,,,-4.54,10000,9.05,,,,,,,no,n/a,yes,"NEW candidate tested this round (Codex commit e7fb55b, London-session-anchored VWAP+RSI). FALSIFIED: PF<1 consistent across all 3 splits (0.513/0.547/0.598) despite high 54-63% win rate -- R:R too poor to be profitable. Not pursued further on this instrument/interval."
2026-08-20,18,Alpha,XAU/USD,exness,cfd,5m,session_vwap_reversion_london_14_2_0,honest_holdout_backtest,322,57.1,,0.503,,,,-5.02,10000,6.20,,,,,,,no,n/a,yes,"Same falsification as the 1.5-sigma variant: PF<1 all 3 splits (0.591/0.654/0.503)."
2026-08-20,18,Alpha,XAU/USD,exness,cfd,5m,opening_range_breakout_london_60m,honest_holdout_backtest,112,42.0,,0.947,,,,-0.30,10000,2.16,,,,,,,no,n/a,yes,"NEW candidate. PF inconsistent across splits (0.872/1.111/0.947), oscillates around 1.0 with no clear direction -- not a candidate."
2026-08-20,18,Alpha,XAU/USD,exness,cfd,5m,opening_range_breakout_london_30m,honest_holdout_backtest_daily_gate,123,48.0,,1.275,0.944,1.854,n/a_no_benchmark,1.35,10000,2.37,121,7(days),0.0042,0.870(daily_ret_approx),3.78,30.43,no,n/a,no,"NEW candidate, most promising streak/frequency trade-off found this whole program: max negative-day streak only 4 days (best ever, vs 17-66 for the Round-17 swing family) and 2.37 trades/week (well above the swing family's 0.21-1.24/week, still short of the 7/week target). Sortino passes (1.854), Sharpe just misses (0.944 vs 1.0). NOT called validated: (1) PF rises train->validation->holdout (0.868->1.023->1.275), the same shape that falsified the Round 12 candle_reversion candidate later on more data; (2) fails holdout_interval_continuity, a real data-quality check -- same check failed for the same instrument (Exness XAU) at a completely different timeframe in Round 15, now consolidated into one Todo item in handoff_codex.md instead of two isolated notes."
2026-08-20,19,Alpha,BTC/USDT,binance,perpetual_future,5m(higher-tf 1d),mtf_stochastic_14_3_30_70_sma50_trend_filtered,honest_holdout_backtest_daily_gate,29,13.8,,1.488,0.713,2.022,n/a_no_benchmark,1.24,10000,0.55,,47(days),,,,,no,n/a,no,"NEW MTF combo this round (5m base + 1d higher-tf, never tested before -- all prior MTF tests used 5m+4h or 4h+1d). Direct same-candidate comparison vs Round 17's 4h+1d version: switching base interval 4h->5m (48x finer) only raised frequency 0.34->0.55 trades/week (+61%, not proportional) while EVERY quality metric got worse (Sharpe 1.13->0.71, Sortino 3.10->2.02, net PnL 1.69->1.24, win rate 50.0%->13.8%). Root cause confirmed by reading MultiTimeframeTrendFilterStrategy::evaluate (strategies.rs:1089-1130): the higher-tf filter is a pure boolean gate, frequency ceiling is set by the inner oscillator's own raw signal rate, which does not scale with candle granularity the way naively expected. Refutes the naive version of the Round 17 swing-bias-gate proposal (reusing the swing oscillator itself as inner strategy at finer base interval) -- the original proposal using the live 5m candle_momentum/rsi_mean_reversion signals as inner strategy is NOT refuted by this test, clarified in raw/handoff_codex.md to avoid Codex implementing the already-failed variant."
2026-08-20,19,Alpha,BTC/USDT,binance,perpetual_future,5m(higher-tf 1d),mtf_rsi_14_20_80_trend_filtered,honest_holdout_backtest,45,33.3,,1.445,,,,,10000,0.86,,,,,,,unknown,n/a,no,"NEW candidate this round (RSI 14/20/80 entry + 1d trend filter, untested inner/timeframe combo). PF rises consistently across splits (1.091/1.156/1.445), not yet full-gate tested this round -- flagged for a future round if pursued further, not a priority given the same frequency ceiling mechanism applies."
2026-08-20,20,Methodology,all,all,all,n/a,n/a,code_review_finance-research_source,,,,,,,,,,,,,,,,n/a,n/a,n/a,"MAJOR finding, not a strategy result: finance-research's portfolio_execution/--daily-profit-gate does NOT invoke the real PortfolioDecisionPolicy::decide()/MultiTimeframePortfolioPolicy::decide() (trading_modes.rs:267,711) that governs Target 2 (Make Decision rate) in production -- confirmed by grep, only lookahead_analysis.rs uses the real decide(). All PF/Sharpe/win-rate numbers from Round 1-19 answer 'is this signal profitable if Portfolio always follows it alone', not 'would Portfolio's real weighted-ensemble engine actually decide to trade more often with this signal added'. Not a bug (portfolio_measurement.rs's own doc comment confirms this was intentionally scoped for sizing/risk-gate comparison, not decision-frequency simulation) but the whole research program used it beyond that scope for Target-2 conclusions. Considered running the real finance-api binary locally to test through the actual engine but declined this round due to real risk (needs live Kafka to boot, dev compose defaults point at production Kafka broker hostname, no isolated local profile exists yet). Proposed narrow, low-risk fix to Codex instead: make portfolio_measurement.rs/daily_profit_gate.rs call the real decide() functions. See raw/researcher/round20-decision-engine-methodology-gap.md and raw/handoff_codex.md P1 item."
